SN,Trimester 1/4/7/10 & PhD 4/7,Div.,Discp,Course code with sections,Course Title,OAA Remarks,"Year 1
 2025-29
 T1/2/3","Year 2
 2024-28
 T4/5/6","Year 3
 2023-27
 T7/8/9","Year 4
 2022-26
 T10/11/12",Phd 4,Phd 7,Course Type,Credits,Faculty Name,Required for,Prerequisites to enrol for this course,Description,Is this course prerequisites for any future course?,Remarks
1,Trimester 1/4/7/10 & PhD 4/7,KCCS,KCCS,KCCS101-WOC,Writing and Oral Communication,,YES,YES,NO,NO,NO,NO,Required,3,,Required for all the first years,None,,None,None
2,Trimester 1/4/7/10 & PhD 4/7,KCCS,KCCS,KCCS102-MR,Mathematical Reasoning,,YES,YES,NO,NO,NO,NO,Required,3,,Required for all the first years,None,,None,None
3,Trimester 1/4/7/10 & PhD 4/7,KCCS,KCCS,KCCS103-CE,Creative Expression,,YES,YES,NO,NO,NO,NO,Required,3,,Required for all the first years,None,,None,None
4,Trimester 1/4/7/10 & PhD 4/7,KCCS,KCCS,KCCS133-DTG,Design Thinking,,YES,YES,NO,NO,NO,NO,Required,3,,Required for all the first years,None,,None,None
5,Trimester 1/4/7/10 & PhD 4/7,KCCS,KCCS,KCCS122-ESH,Exploring the Social and the Historical,,YES,YES,NO,NO,NO,NO,Required,3,,Required for all the first years,None,,None,None
6,Trimester 1/4/7/10 & PhD 4/7,KCCS,KCCS,KCCS123-PHP,Philosophical Perspectives Across Cultures,,YES,YES,NO,NO,NO,NO,Required,3,,Required for all the first years,None,,None,None
7,Trimester 1/4/7/10 & PhD 4/7,HSS,BUSI,BUSI203,Supply Chain Management ,ok,NO,YES,YES,YES,NO,NO,Required,2,Kumaravel S,Required course for Business Studies minor,None,"A business firm is a needs-satisfying machine; it is an entity invented and employed by society to better satisfy society’s interests[1]. ‘Value’ is created when the customer is willing to pay (such) a price for a product/ service/ combination thereof that exceeds the costs incurred to deliver the same. Value creation occurs across the ‘Supply Chain.’ For a given ‘Value,’ the supply chain evolves to minimize the sum of the input, conversion, and transaction costs. This course introduces the vocabulary, perspectives, concepts, and models used to study and analyze supply chains.",NA,
8,Trimester 1/4/7/10 & PhD 4/7,HSS,BUSI,BUSI316,Organization Design & Theory,ok,NO,NO,YES,YES,NO,NO,Elective,2,Pallavi Pandey,Elective,None,"Course Rationale :
This course helps students understand Organization, Organizational Theory, Structure, and Design. It
also introduces some of the key concepts like Change Management, Decision-making, Culture,
Conflict, Power, and Politics. The primary purpose is to enhance the student’s knowledge of how the
structure, systems, and selected issues influence organizational processes and performance. Students
will be able to relate how managers and organizations can build organizational culture, implement
planned change, and how conflict, power, and politics are integral aspects of the organizational
system.
Course Objectives :
CO1. To develop critical thinking on important theoretical themes in organizational theory and
evaluate the organization&#39;s dynamic process based on the same.
CO2. To develop abilities to assess and describe organization showing linkages between environment,
strategy, and structure and point out solutions.
CO3. To acquaint the participants with some of the key organizational issues like decision-making,
culture, knowledge management, conflict, power, and politics.
Learning Outcomes :
LO1. Will be able to critically comment on the usefulness and practical implication of the theoretical
underpinnings of organizational theory.
LO2. Will be able to apply fundamental concepts of organization theory and structure to understand and
solve organizational dilemma.
LO3. Will be able to evaluate the role of strategy, structure, and decision making process in organization.",NA,
9,Trimester 1/4/7/10 & PhD 4/7,HSS,BUSI,BUSI320,Security Analysis & Portfolio Management,ok,NO,NO,YES,YES,NO,NO,Elective,4,Sesha Sai Ram Meka,Elective,None,"Course Description:
The course aims to provide students with a comprehensive understanding of portfolio management
principles, including constructing and evaluating investment portfolios.
Topics we cover include the market indices, efficiency frontier, the Markowitz portfolio, capital asset
pricing, model, arbitrage pricing theory, factor models, active and passive investing, smart beta, beta
core, bucket investment, simulation, optimization, Sharpe ratio, Traynor ratio, Mutual funds etc.
Course Objectives:
The course objectives are as follows:
1. Gain knowledge of financial markets
2. Understand risk and return dynamics.
3. Develop an understanding of portfolio management
4. Develop skills in investment strategy
5. Enhance decision-making abilities
Learning Outcomes:
1. Understanding risk, randomness, and market efficiency
2. Understand mutual funds
3. Constructing an optimal portfolio
4. Evaluating the performance of a portfolio",NA,"Approved by CC, Course Code awaited"
10,Trimester 1/4/7/10 & PhD 4/7,HSS,BUSI,BUSI331,Finance & Sustainable Development Goals,New,NO,YES,YES,YES,NO,NO,Elective,4,Govindapuram Suresh,Elective,None,"Course Description:
Today's world is borderless; everyone is accessible to anyone and anywhere in the world. This happened because of the advancements in technology and innovation, which businesses are constantly working on. This is one side of the story, and the other is that there are threats to society, such as inequality, hunger, poverty, climate change, wars, etc.  To overcome the problems, governments, businesses, non-governmental organizations, and other stakeholders are working significantly to improve people's lives and economic growth and development. They need finance to overcome and cope with the emerging challenges essential to achieving the 17 Sustainable Development Goals (SDGs). The SDGs are important and cover almost all life, business, and developmental aspects of the environment and industry.

This course explores the possibilities and issues with the impact of finance on achieving Sustainable Development Goals and the relationship between them. As finance is essential for achieving SDGs, here comes the role of a manager, one who manages businesses. With their actions in the industry, managers will try to accomplish these without delays. Which is benefit the society at large. Hence, managers need to understand the different aspects of SDGs and how they finance them with the available funds.

This course introduces different financial instruments to achieve world-level SDGs and gives a case study of the Indian story. 


Learning Objectives: 

Students will be able to understand the fundamentals of SDGs. 
Students will understand the emergence and development of the SDGs.
To understand the role of finance in achieving SDGs. 
To examine the financial instruments for SDGs.
To learn about different issues and difficulties in achieving the SDGs.


Learning Outcomes: 
Upon successful completion of this course, students will be able to:
Understand the importance of SDGs.
Gain skills and knowledge on the finance and SDGs nexus
Understand the importance of financial instruments in achieving the SDGs.
Develop an SDGs index to compare the different countries/states.
Critically understand the role of Government, NGOs, and other stakeholders in achieving SDGs",NA,"Approved by CC, Course Code awaited"
11,Trimester 1/4/7/10 & PhD 4/7,HSS,BUSI,BUSI332,Personal Finance & Wealth Management,Awaiting CC Approval,NO,NO,YES,YES,NO,NO,Elective,4,Sairam Moturi,Elective,None,"Managing personal finances and wealth is the key for the successful and stress life of an
individual. This course helps the students to make informed financial decisions in their
life by reducing the risk of being ending in financial turmoil. This course aims to provide
a strong foundation for managing personal finance and wealth of students through real-
world applications, case studies, and interactive activities. Students will develop the
knowledge and confidence to achieve financial stability and growth.
Learning Objectives:
Students will develop practical skills in budgeting, saving, and investing, while also
gaining an understanding of credit management, tax planning, and retirement
strategies. By exploring various financial instruments available and equip them to
optimize their wealth-building efforts and achieve financial security. The course also
emphasizes the importance of risk management, financial psychology, and consumer
protection, ensuring that students can navigate financial challenges with confidence.
Ultimately, the course aims to cultivate responsible financial habits and long-term
wealth management strategies for a secure and prosperous future.

Learning Outcomes:

Page 2 of 1

After completing this course, the participants should be able to:
1) Students will be able to learn how to prepare and manage the personal budget viz.,
expenses, savings effectively.
2) Students will get an overview of investment options available to build their wealth.
3) Students will learn how to plan financially for their higher education, home loan,
retirement, health and Insurance.
4) Students learn on assessing financial risks, recognize fraudulent schemes, and build
strategies for secures future.",NA,Awaiting CC approval
12,Trimester 1/4/7/10 & PhD 4/7,HSS,ECON,ECON211(2),Mathematical Methods for Economics – I ,ok,NO,YES,YES,YES,NO,NO,Required,4,"Vidya Bharathi Rajkumar, Sumit Mishra (GSB)","ECON Major (3 and 4 year, Single/Double) ,ECON Minor (3 and 4 year),ECON Concentration","None. 
Exposure to high-school level math is recommended but not mandatory.

Suggested prerequisites: 
- ECON061 (Linear Algebra, 2 cr), 
- ECON066 (Calculus, 2 cr)","Economists primarily use mathematical methods to make and study economic arguments. Mathematics brings in the rigour and precision that are required to ensure that the economists’ statements are true and logically sound. This course is intended to familiarize students with mathematical concepts and methods typically used by economists, and introduce ideas from topics in differential and integral calculus, optimization, linear algebra, and financial economics. A course in these topics will lay the foundation for more rigorous courses in (various branches of) economic theory, statistics and econometrics.

The goal of the course is not to delve into the theorem-proof route, but rather to help the students develop their mathematical reasoning and intuition, and become comfortable talking about economics using mathematical shorthand.","ECON202 (Micro-I), 
ECON203 (Macro-I),
ECON204 (Metrics-I),
ECON334 (Math-II)","Preference given to 2nd year students. 
Open to students in years 2, 3, and 4"
13,Trimester 1/4/7/10 & PhD 4/7,HSS,ECON,ECON212|DATA212(2),Statistics for Economics,ok,NO,YES,YES,YES,NO,NO,Required,4,"Suchika Chopra, Soumya Pal (GSB)","ECON Major (3 and 4 year, Single/Double) ,ECON Minor (3 and 4 year)",None. ,"This course has a dual focus: First, to introduce you to probability theory and the basic statistical concepts that are used to explore and understand economic phenomena. Second, to show you how this statistical knowledge can be applied to real world data using widely available spreadsheet tools like Microsoft Excel. Therefore, this course has been designed very much from a practitioner’s point of view. You will find that the material that you learn in this course will have direct application in your jobs and further studies. Sound grasp of material from this course will also be essential for your further coursework in econometrics and advanced microeconomics.

The topics covered in this course fall into three broad categories: descriptive statistics, probability & distributions, and hypothesis testing. Descriptive statistics deals with the visualization and summarization of statistical data. You will learn simple tools for visualizing data on one and two variables, as well as statistical concepts for summarizing the central location and dispersion of your data. In the probability & distributions section, you will learn about probability and surrounding concepts like sample spaces, random variables, and combinatorics. You will also learn about some common discrete and continuous probability distributions. Hypothesis testing deals with questions of statistical inference: when are our conditions supported by the data and when are they not? You will learn about samples, and populations, point and interval estimates, and the apparatus of hypothesis testing about one or two variables.",ECON204 (Metrics-I),"Preference given to 2nd year students. 
Open to students in years 2, 3, and 4"
14,Trimester 1/4/7/10 & PhD 4/7,HSS,ECON,ECON223|DATA223(2),Introduction to Statistical Programming,ok,NO,YES,YES,YES,NO,NO,Required/Elective,4,"Vidya Bharathi Rajkumar, Brijesh Kumar Jha","Required for ECON Major (3-year and 4-year) - 2023-2026/2027 batches

Elective for ECON Major (3-year and 4-year) - 2022-2026 batch

Elective for DATA SCIENCE Majors",None,"This course is aimed at introducing economics students to statistical programming, using R and Stata. In this course, students will learn the basics of programming – such as downloading and installing the programme(s), managing libraries and packages, and good coding practices. Students will learn to perform simple computations, including basic mathematical operations, creating vectors and variables, and working with frequently used tools such as conditionals and loops. 

Through a combination of lectures, hands-on exercises, and projects, students will be exposed to different data structures, and learn the tools to manipulate and analyse data – importing data from different sources/in various formats, and transforming them into a format suitable for analysis, cleaning data and dealing with missing information, and data visualization/description – creating and formatting charts and tables. Based on students’ comfort level with these foundational skills, the course may also touch upon additional topics related to simple statistical tests and analyses.",ECON204 (Metrics-I),"Preference given to 2nd year students; preference given to ECON students for whom this is a required course for graduation.

Open to students in years 2, 3, and 4"
15,Trimester 1/4/7/10 & PhD 4/7,HSS,ECON,ECON313,Econometrics - II,ok,NO,NO,YES,YES,NO,NO,Required/Elective,4,Rohan Gudibande,"4-year ECON Major (Single) - Required

4-year ECON Major (Double) - Students are required to complete any 2 of 4 required courses from the following list:
- ECON313 (Metrics-II) - in T10
- ECON310 (Micro-III) - in T10
- ECON334 (Math-II) - in T11
- ECON309 (Macro-III) - in T11

Elective for all other ECON Major (3-yr), Minor, and Concentration students who satisfy the prerequisites.",ECON204 (Metrics-I),"This course introduces students to advanced econometric techniques for conducting empirical analysis in economics. It introduces students to several families of distributions and explores commonly used empirical approaches to identify causality. The course also features advanced topics such as instrumental variable estimation, panel data models, and limited dependent variables. At the end of this course, students should be able to have a deeper appreciation for the link between theory and empirical work, and also be able to engage meaningfully with current empirical literature in economics.",None,"Preference given to students graduating in 2026 for whom this is a required course.

Open to students in years 3 and 4."
16,Trimester 1/4/7/10 & PhD 4/7,HSS,ECON,ECON310,Microeconomics - III,ok,NO,NO,YES,YES,NO,NO,Required/Elective,4,Rohan Gudibande,"4-year ECON Major (Single) - Required

4-year ECON Major (Double) - Students are required to complete any 2 of 4 required courses from the following list:
- ECON313 (Metrics-II) - in T10
- ECON310 (Micro-III) - in T10
- ECON334 (Math-II) - in T11
- ECON309 (Macro-III) - in T11

Elective for all other ECON students who satisfy the prerequisites.",ECON210 (Micro-II),"This course is a sequel to Microeconomics II specially designed for the students enrolled in the FYUP. It will focus on the study of market failure under second best settings. It will also dwell deeper into game theory, public goods, factor markets, and time costs. The concept of the market equilibrium will be re-introduced, and we will learn how the characteristics of the market vary in the real word leading to conditions such that market fails to achieve an equilibrium, focusing on externalities, public goods, markets with asymmetric information and imperfect competition. The course would develop a rigorous set of tools to analyze such conditions while unraveling how choices can interact and persist leading to strategic outcomes and payoffs.",None,"Preference given to students graduating in 2026 for whom this is a required course.

Open to students in years 3 and 4."
17,Trimester 1/4/7/10 & PhD 4/7,HSS,ECON,ECON312,Environmental Economics,ok,NO,NO,YES,YES,NO,NO,Elective,4,Debdulal Thakur,Elective for ECON,ECON202 (Micro-I),"This course is an immersive exploration of the complex relationship between our environment and economic systems. We will tackle pressing environmental challenges, diving into diverse perspectives on both environmental issues and economic analysis. You will encounter both established and cutting-edge approaches, equipping you to critically evaluate solutions.
Beyond economic theory and environmental policy frameworks, we will delve into real-world case studies, sharpening your ability to apply learned concepts. Prepare to engage with international environmental issues, global sustainability concerns, and the economic development equation. We will even explore the philosophical underpinnings of environmental thought.
This course emphasizes practical policy tools, empowering you to analyze and potentially shape solutions for a sustainable future.",None,Open to students in years 3 and 4.
18,Trimester 1/4/7/10 & PhD 4/7,HSS,ECON,ECON323,Public Finance,ok,NO,NO,YES,YES,NO,NO,Elective,4,Debdulal Thakur,Elective for ECON,ECON202 (Micro-I),"The course is about public-sector economics from historical, theoretical and policy perspectives. While the theory explains the rationale for the existence of why the state plays a distinct role in market or capitalistic economies, social and fiscal policies
explains how revenue (i.e., taxation) is collected and spending (e.g., social insurance, welfare, etc..,) is made by the union-state-local governments and their impact in the economy in the historical perspectives of developing countries like India and the developed world. This will help to reveal the changing conceptualization and praxis of theories and policies over time. Specifically, the course focuses on three major topics:
●	Historical & economic rationale for the public-sector
●	Social insurance & redistribution 
●	Theory & practice of taxation",None,Open to students in years 3 and 4.
19,Trimester 1/4/7/10 & PhD 4/7,HSS,ECON,ECON321,Labor Economics,ok,NO,NO,YES,YES,NO,NO,Elective,4,Suchika Chopra,Elective for ECON,"ECON202 (Micro-I),
ECON204 (Metrics-I)","Labor economics, in a comprehensive sense, involves examining how individuals, firms, institutions, and the public sector interact to influence employment and wage outcomes. Throughout this course, we will delve into both theoretical and empirical aspects of labor economics, placing a significant emphasis on practical applications. We will focus on discussing research designs aimed at empirically measuring theoretical predictions and assessing the impact of policy interventions.",None,Open to students in years 3 and 4.
20,Trimester 1/4/7/10 & PhD 4/7,HSS,ECON,ECON206,History of Economic Thought,ok,NO,NO,YES,YES,NO,NO,Required,4,Sarabjeet Natesan,"ECON Major (4-year) – Required 

ECON Major (3-year, Single) – Required 
 
ECON Major (3-year, Double) & ECON Minor (4- or 3-year) – Students could choose any 1 of 2 courses from the fol. list of required courses: 
- ECON206 – Hist of Econ Thought (in T6/T9/T12)
- ECON207 – Indian Economy (in T8/T11)","ECON202 (Micro-I),
ECON203 (Macro-I),
ECON210 (Micro-II),
ECON209 (Macro-II)","The economy, which we have come to think of as a distinct sphere of human activity, is a peculiar conceptual construct with an even more peculiar history. This course introduces economics majors to influential intellectual traditions that continue to shape how we think about the economy and the laws that govern it. Along the way, the class will revisit and historicize commonplace categories in the field of economics: commodity, money, capital, prices, wages, rents, etc.",None,"Preference given to students graduating in 2026 for whom this is a required course.

Open to students in years 3 and 4."
21,Trimester 1/4/7/10 & PhD 4/7,HSS,ECON,ECON330,International Trade,ok,NO,NO,YES,YES,NO,NO,Elective,4,Sarabjeet Natesan,Elective for ECON,"ECON202 (Micro-I),
ECON203 (Macro-I)","Since the early days of Adam Smith and David Ricardo, economics as a discipline has been interested in the principles and policies surrounding international trade among nations. As the economic integration of nations has intensified over the past five centuries, culminating in the most recent era of globalization since the 1990s, International Economics has assumed greater significance and relevance for students of the discipline of economics.
 
This course will cover the history and origin of International economics and trade. The course aims to acquaint the students with the theoretical underpinnings of trade and introduce them to trade instruments and the policies adopted by trading nations. It will focus on the constitutes of international trade and the theories that explain why trade takes place in the first place. It will introduce the students to the currency of trade and the rates at which it is exchanged: floating, fixed, spot, forward, expected, pegged, managed, and trade-weighted, to the economics behind factors that drive exchange rates. The course will discuss issues related to imports and exports, current and capital account balances, national savings identity, and the global flow of capital. As trade protection instruments, tariffs, quotas, subsidies, dumping, CVDs, etc., will be learned. 
 
Relevant historicity will be provided; for example, the Smoot Hawley Tariff will be discussed, and its role in the economic depression of 1929 will be investigated. Students will be introduced to Mercantilism, the Gold Standard and the Bretton Woods System, the concept of the Reserve Currency, the 1970s oil shocks, and the factors that led to the transition of the GATT to the WTO. The course will introduce the students to the changing world order of increasing share of services in trade, the Free Trade Agreements, and the QUAD.
 
The course funnels into a deeper study of international economics and finance.
",None,Open to students in years 3 and 4.
22,Trimester 1/4/7/10 & PhD 4/7,HSS,HIST,HIST210,World History from 1750 to the present( Formerly known as: HIST209 : How We Became Modern: World History from 1750 to the Present),ok,NO,YES,YES,YES,NO,NO,Required,4,Aashique Iqbal Ahmed,History Major/Minor,NA,"We take the idea of being modern for granted. Yet historians have long debated what it means tolive in a modern world. Did modernity emerge in Europe and spread around the world over thelast five hundred years? Are all parts of the world equally modern? Has the idea of what it meansto be modern, modernity, been used to justify radical and (often) violent actions by various 20thcentury governments? In this course we will try to answer these and several other questionsusing rich scholarship produced by the field of global history from the discovery of the NewWorld in the 15th century to the globalized world of the present. Among other things we willstudy about the enlightenment, the emergence and fall of European empires, the integration ofthe global economy and the environmental fallout of globalization.",NA,"Previously the course title was How We Became Modern: World History from 1750 to the Present

"
23,Trimester 1/4/7/10 & PhD 4/7,HSS,HIST,HIST206,From Mughaliyah Saltanat to Sovereign Republic: India in Transition ,ok,NO,YES,YES,YES,NO,NO,Required,4,Aashique Iqbal Ahmed,History Major/Minor,NA,"This course will study the processes that transformed India from a Mughal Empire to aSovereign Republic. Until 1857 the Mughal emperor remained the fount of political legitimacyof South Asia even as the actual power of the Mughals waned. Mughal successor states includingAwadh, Hyderabad, Bengal and even the British East India Company at least nominally drewtheir authority from the Mughal crown. By 1950 India had emerged as a republic whose rulersderived legitimacy from democratic elections. India’s evolution from Mughal empire to colonyto independent republic raises many questions. How did social, economic and political forcesradically transform South Asia in under a century? What effect did colonialism have on India?How are the lives of ordinary Indians today different from those of their ancestors living twocenturies ago? Themes covered in this course will include colonialism, nationalism,decolonisation, social reform movements and state formation in the South Asian context",NA,
24,Trimester 1/4/7/10 & PhD 4/7,HSS,HIST,HIST339,"Reading Food, Understanding Identities ",ok,NO,YES,YES,YES,NO,NO,Elective,4,Preeti Gulati,-,NA,"To eat, like breathing, is a biological instinct of our bodies, necessary for daily functioning. Unlike breathing however, the ways in which we eat, the food items we choose or reject, are linked to societal norms and economic capacities, beyond individual agency. This course will read foodways as systems of communications that encode identities in terms of state and household institutions, geographical markers, religious affiliations, labour and class positions, and caste and gender norms.

This course will move chronologically through the turn to agriculture, ancient states and empires, religious sacrifices and asceticism, medieval mercantilism, industrialisation and circulation of food and labour, and end in the present day post-globalisation world. We will learn to read primary sources ranging from the pots and pans of the ancient world, medicinal texts, religious canonical literature, oral and written recipe collections, and modern day popular culture. Together, we will use these contexts and sources to understand how food functions as a marker of identity. ",NA,
25,Trimester 1/4/7/10 & PhD 4/7,HSS,HIST,HIST211|ECON205,Themes in Economic history: Humans as Planetary Pilots,ok,NO,YES,YES,YES,NO,NO,Required/Elective/Elective,4,Surbhi Vatsa,History Major/Minor,NA,"This course intends to explain economic events and phenomena in their historical contexts,
recognizing such thinking to be central to the discipline of economics itself, from Adam Smith
to Thomas Piketty. Economic history seeks to explain fundamental questions about wealth and
inequality in relation to both individuals and nations. Such historicizing will help us understand
(a) how technologies, institutions, and innovations will spur economic growth and (b) how the
wealth generated thus is redistributed. This course has two core objectives: first, to present a
general introduction to economic history by examining how labour, technology, and commerce
have remade human cultures since the Neolithic Revolution; second, to explore specific topics
in relation to modern economies since the Industrial Revolution. Taught by economists and
historians, the specific topics chosen may change.",NA,
26,Trimester 1/4/7/10 & PhD 4/7,HSS,HIST,HIST314|SOCL351|POLT351,"Power and Powerlessness: Caste, Class and Gender in Indian History",ok,NO,YES,YES,YES,NO,NO,Elective,4,Surbhi Vatsa,History Major/Minor,NA,"This interdisciplinary course explores the dynamics of power and powerlessness in society with a specific focus on class, caste, and gender. Through critical analysis, discussions, and case studies, students will examine the interplay of social structures, inequalities, and systems of privilege and oppression. The course aims to empower students to become informed and active advocates for social justice.
",NA,
27,Trimester 1/4/7/10 & PhD 4/7,HSS,PHIL,PHIL339,Pre-Socratics and the Socratics - History of Philosophy,ok,NO,YES,YES,YES,NO,NO,Elective,4,Vivek Radhakrishnan,Elective for Philosophy Minors,NONE,"This course will introduce students to thinkers who collectively formed the philosophical tradition of the ancient Greece. It will first familiarize students to the philosophical thoughts of the pre-Socratic thinkers like Thales, Pythagoras, Parmenides, Heraclitus and Democritus. Then, the focus of the course will shift to Socrates, and the two major Socratic philosophers – Plato and Aristotle. Students will be introduced to the ethical and metaphysical concerns of these three thinkers through the selected works of Plato and Aristotle. Philosophical themes including moral virtues (like justice, wisdom, piety etc.), good, beauty, happiness, death, God and soul will be explored in theses classes. Taking a historical approach, the course will enable students to systematically and critically reflect on specific philosophical issues that were relevant to the ancient Greeks. ",NO,
28,Trimester 1/4/7/10 & PhD 4/7,HSS,PHIL,PHIL343|SOCL343,Theorising Technology (Formerly: PHIL335 - Introduction to Philosophy of Technology),ok (pl see remarks column),NO,NO,YES,YES,NO,NO,Elective,4,Shriddha Shah,Elective for Philosophy Minors,NONE,"Human evolution is tied to the question of technological evolution, or perhaps vice versa. In either scenario, questions of – what is technology? How does technological design structure the world around us? What are the requirements of adapting to the demands of technological change? What are the larger socio-political and ethical implications of technological change? All these questions need to be situated as part of a discussion in the philosophy of technology. The course seeks to introduce the students to some of the seminal thinkers and their positions in this respect and engage them in fundamental ontological queries regarding technology.",NO,Cross-listing process pending.
29,Trimester 1/4/7/10 & PhD 4/7,HSS,PHIL,PHIL232,The Word and the World,New,NO,YES,YES,YES,NO,NO,Elective,4,Shikha Rajpurohit,Elective for Philosophy Minors,NONE,"This is an introductory course to the classical Indian philosophy of language. The title has been taken from Bimal Krishna Matilal’s monograph from which we will be reading some portions. In this course, we will be walking through four schools of Indian philosophy – Nyāya, Mīmāṃsā, Buddhism and Grammar – to understand various theories of word (śabda), meaning (artha), sentence (vākya), powers of the word (śabda-śakti) and how to derive meaning from them. Along the way, we will be discussing questions such as, how many meanings can a word denote? Does language simply denote the world that we live in,
represents it or creates and shapes it? Who decides the meaning – the speaker, the listener or the language in which it is communicated?
We will also touch upon some deeper philosophical questions like, does language reveal the truth or veils it? Can there be a soteriological function related to language? Through the
classical texts incorporated in the course, the students will gain beginning competence in reading primary texts through translations. The aim is to encourage the students not only to
learn the Indian theories and philosophy of language but to think with them – critically, comparatively and creatively.",NO,Waiting for the CC approval
30,Trimester 1/4/7/10 & PhD 4/7,HSS,PHIL,PHIL201,Philosophical Concepts: Objects and Subjects I : Intro to Metaphysics,ok,NO,YES,YES,YES,NO,NO,Required,4,Srajana Kaikini,Required for Philosophy Minors,NONE,"In this introductory course, we will engage with basic questions in metaphysics - one of the foundational pillars of philosophy. Questions such as what is reality? What is the nature of truth? How do we experience and know about things around us? Have been central to philosophical enquiry. We will explore these questions by foregrounding the concepts of objecthood and subjecthood. We will examine whether these two seemingly different concepts are related and what this understanding implies for philosophy. The question of objects is a central to understanding ontology and its role in experience. What defines objects? Are objects created or discovered?  What kinds of objects are there? We will study the various conceptions of objectivity including explorations of realist, idealist, modal theories on objects and so on. Similarly, the question of subjects is central to the epistemological enterprise. There are many ways of thinking about the subject. How has the subject been understood via materiality, reason, substance, language, society, interests? What is intersubjectivity? This course primarily explores metaphysical questions concerning objectivity, subjectivity, experience and the knower and their implications across disciplines, be it science, mathematics, arts or the social sciences.",NO,
31,Trimester 1/4/7/10 & PhD 4/7,HSS,POLT,POLT202,Understanding Indian Politics,ok,NO,YES,YES,YES,NO,NO,Required,4,Sam Gundimeda,All the politics majors and minors,NONE,This course explores the evolution of Indian politics from Independence to the present-day BJP-led government.,"Yes, Politics II",None
32,Trimester 1/4/7/10 & PhD 4/7,HSS,POLT,POLT203,"Politics in Multiple Frames: Approaches, concepts and theoretical perspectives",ok,NO,YES,YES,YES,YES,NO,Required,4,Dyotana Banerjee,"Required Course for Politics Major / Minor, Politics-History Joint Major",NONE,"This course seeks to outline various perspectives of understanding politics at multiple levels from the local to the national to the global. Is politics essentially about power, government and elections, or is it about friends and foes? Could it be about a deep yet contested conversation about public goods or an art of bringing political differences into an integral but tension-ridden whole? Students will develop a foundational understanding of historical, empirical and normative dimensions of politics at each of these scales. What are the pressing questions that we encounter at different levels of politics, and how did the systems that organise them come to be, and what are the epistemologies and power dynamics that underpin them? How does the academic discipline of politics constitute its objects of study and protocols of enquiry? Can the focus of politics be exclusively on human action, and such a focus be sustained in times of deep ecological crises?",None,None
33,Trimester 1/4/7/10 & PhD 4/7,HSS,POLT,POLT317,Political Theory II,ok,NO,YES,YES,YES,NO,NO,Required,4,Shilpi Singh,"The study of politics is much more than the study of the state. It involves the examination and engagement with the social and political structures, concepts, ideas and values. Thus, concepts like equality, liberty, rights, justice, sovereignty, power, democracy, modernity, nationalism, identity, state, legitimacy and dissent become central to the discipline of politics. Political Theory I exposes the students to some of these concepts. However, the course on Political Theory II will engage with the remaining concepts through the ongoing debates around some of the concepts like sovereignty, power, nationalism, democracy, identity and modernity. The engagement with these debates bring to the surface how certain concepts complicate or simplify the understanding and applicability of other concepts in a polity. The engagement with these concepts manifests in political action. Political action aims at either preservation or change guided by the thought of better or worse. This is deeply embedded in finding the good or the right driven by what starts as a question and ends with knowledge. Thus, political theory is driven towards the pursuit of knowledge for the good of society, polity, people and collectives exhibited in the establishment of order and resolution of contestation or conflict. The engagements with ongoing debates enhances this pursuit of knowledge which is deeply embedded in explanatory wisdom for the truth. Thus, the course will engage with such a quest for knowledge while resolving ongoing contestations, conflicts and debates that aim at generating consent and acceptance for an ordered polity. The course will be anchored to the challenges to state and sovereignty, contestations over power and legitimacy, debate around dissent safeguarding democracy or democracy being dissent, paradox of modernity and identity and the elusiveness of nationalism. It is through a critical engagement and coherent analysis of the concepts and the ongoing debates and challenges around them that the course will enrich political theory and the discipline of politics as it will create the knowledge of the whole by putting the parts together.",Political Theory I,"The study of politics is much more than the study of the state. It involves the examination and engagement with the social and political structures, concepts, ideas and values. Thus, concepts like equality, liberty, rights, justice, sovereignty, power, democracy, modernity, nationalism, identity, state, legitimacy and dissent become central to the discipline of politics. Political Theory I exposes the students to some of these concepts. However, the course on Political Theory II will engage with the remaining concepts through the ongoing debates around some of the concepts like sovereignty, power, nationalism, democracy, identity and modernity. The engagement with these debates bring to the surface how certain concepts complicate or simplify the understanding and applicability of other concepts in a polity. The engagement with these concepts manifests in political action. Political action aims at either preservation or change guided by the thought of better or worse. This is deeply embedded in finding the good or the right driven by what starts as a question and ends with knowledge. Thus, political theory is driven towards the pursuit of knowledge for the good of society, polity, people and collectives exhibited in the establishment of order and resolution of contestation or conflict. The engagements with ongoing debates enhances this pursuit of knowledge which is deeply embedded in explanatory wisdom for the truth. Thus, the course will engage with such a quest for knowledge while resolving ongoing contestations, conflicts and debates that aim at generating consent and acceptance for an ordered polity. The course will be anchored to the challenges to state and sovereignty, contestations over power and legitimacy, debate around dissent safeguarding democracy or democracy being dissent, paradox of modernity and identity and the elusiveness of nationalism. It is through a critical engagement and coherent analysis of the concepts and the ongoing debates and challenges around them that the course will enrich political theory and the discipline of politics as it will create the knowledge of the whole by putting the parts together.",,
